State,Region,Sector,Energy_Source,Month,Year,Total_Consumption_GWh,Renewable,Import_Export,Quantity_GWh
Tamil Nadu,East,Transport,Coal,5,2024,3070,No,Export,949
Delhi,North,Industrial,Wind,10,2023,1714,No,Export,41
West Bengal,South,Transport,Coal,3,2023,4542,No,Import,509
Gujarat,Central,Industrial,Biomass,8,2024,2780,Yes,Export,679
West Bengal,North,Residential,Wind,3,2023,1445,No,Import,539
Maharashtra,North,Commercial,Biomass,1,2023,3947,No,Import,390
Gujarat,South,Commercial,Wind,9,2024,4674,No,Export,72
Andhra Pradesh,East,Agriculture,Solar,9,2024,4830,No,Export,137
Delhi,North,Residential,Natural Gas,6,2023,4095,Yes,Import,537
Tamil Nadu,Central,Commercial,Solar,10,2024,2710,No,Import,172
Maharashtra,North,Agriculture,Hydro,1,2024,2283,Yes,Export,967
Delhi,Central,Residential,Hydro,8,2024,3372,No,Import,260
Andhra Pradesh,West,Commercial,Oil,2,2024,4247,Yes,Import,658
Delhi,West,Industrial,Wind,9,2023,4268,No,Import,839
Andhra Pradesh,Central,Transport,Oil,8,2023,2151,Yes,Import,304
Andhra Pradesh,East,Residential,Oil,3,2024,1356,Yes,Import,188
West Bengal,North,Agriculture,Coal,5,2023,1687,Yes,Export,238
Madhya Pradesh,North,Residential,Natural Gas,9,2024,1190,No,Import,892
Maharashtra,West,Agriculture,Nuclear,1,2024,665,No,Import,403
Delhi,Central,Residential,Nuclear,9,2023,4702,No,Export,701
Karnataka,North,Agriculture,Coal,4,2023,4259,Yes,Export,405
Maharashtra,North,Commercial,Coal,4,2023,1616,No,Export,81
Madhya Pradesh,East,Industrial,Solar,4,2023,1026,No,Import,327
Maharashtra,South,Commercial,Nuclear,10,2024,4846,Yes,Import,908
Uttar Pradesh,West,Industrial,Wind,12,2024,1366,No,Export,604
Karnataka,West,Commercial,Biomass,9,2023,2389,No,Export,388
Madhya Pradesh,South,Commercial,Oil,6,2024,4406,Yes,Export,916
West Bengal,North,Residential,Hydro,11,2023,2146,Yes,Export,145
Delhi,East,Transport,Oil,8,2023,428,No,Export,739
Rajasthan,East,Agriculture,Oil,12,2023,3515,Yes,Import,630
Madhya Pradesh,West,Agriculture,Biomass,4,2024,2321,No,Export,387
Tamil Nadu,East,Agriculture,Solar,3,2024,1096,No,Import,928
Delhi,South,Industrial,Nuclear,1,2023,1057,No,Import,128
Madhya Pradesh,North,Agriculture,Oil,10,2023,159,No,Export,915
Uttar Pradesh,South,Agriculture,Natural Gas,7,2023,2821,Yes,Export,539
Rajasthan,Central,Residential,Coal,4,2023,3933,No,Export,853
Uttar Pradesh,West,Commercial,Natural Gas,8,2024,2650,Yes,Export,944
Rajasthan,East,Agriculture,Natural Gas,3,2024,3293,No,Export,675
Tamil Nadu,Central,Transport,Nuclear,1,2023,1055,No,Import,532
Delhi,East,Agriculture,Wind,5,2023,4843,No,Export,659
West Bengal,North,Industrial,Solar,2,2024,355,No,Export,396
Uttar Pradesh,North,Industrial,Oil,3,2023,1008,No,Import,583
Uttar Pradesh,North,Industrial,Oil,6,2024,1003,Yes,Export,592
Andhra Pradesh,East,Agriculture,Oil,3,2024,2718,No,Export,582
Rajasthan,Central,Residential,Coal,3,2023,3588,Yes,Export,653
Gujarat,North,Transport,Biomass,12,2024,2727,No,Import,582
Delhi,Central,Agriculture,Wind,6,2024,1680,Yes,Export,913
Rajasthan,East,Residential,Biomass,5,2024,1841,No,Export,879
Andhra Pradesh,Central,Residential,Hydro,10,2024,2653,Yes,Export,278
Maharashtra,East,Agriculture,Solar,9,2023,2021,No,Export,533
Rajasthan,East,Agriculture,Wind,1,2024,116,No,Import,556
West Bengal,West,Residential,Wind,3,2024,884,No,Export,495
Delhi,East,Residential,Oil,3,2024,255,Yes,Import,447
Andhra Pradesh,East,Residential,Biomass,11,2023,2883,No,Export,572
Maharashtra,South,Agriculture,Coal,6,2023,4300,Yes,Export,564
Karnataka,North,Residential,Hydro,8,2023,1764,No,Export,749
Andhra Pradesh,West,Industrial,Oil,3,2024,1582,Yes,Import,120
Karnataka,West,Agriculture,Oil,3,2023,3195,No,Export,331
Delhi,West,Industrial,Oil,6,2023,3170,Yes,Export,536
Uttar Pradesh,South,Commercial,Biomass,8,2023,757,No,Import,186
Andhra Pradesh,East,Agriculture,Wind,6,2024,228,No,Export,683
Tamil Nadu,North,Commercial,Solar,12,2023,162,Yes,Export,560
Karnataka,Central,Residential,Wind,10,2023,806,No,Export,547
West Bengal,East,Residential,Nuclear,3,2023,946,No,Export,633
Tamil Nadu,South,Transport,Solar,4,2024,2918,Yes,Import,974
Madhya Pradesh,East,Residential,Oil,1,2024,208,No,Import,953
Madhya Pradesh,East,Commercial,Solar,8,2023,835,No,Import,482
Maharashtra,South,Residential,Wind,4,2023,1853,Yes,Export,572
Uttar Pradesh,West,Agriculture,Coal,6,2023,1889,No,Export,888
Delhi,West,Residential,Oil,11,2024,3218,Yes,Export,397
Andhra Pradesh,North,Transport,Solar,3,2024,2348,Yes,Export,107
Gujarat,North,Residential,Nuclear,11,2023,4128,No,Import,420
West Bengal,West,Commercial,Biomass,12,2024,1592,No,Export,384
Karnataka,Central,Commercial,Coal,11,2023,4258,No,Import,179
Delhi,East,Residential,Coal,6,2024,4404,No,Export,65
Tamil Nadu,Central,Commercial,Coal,12,2023,2204,No,Export,742
Madhya Pradesh,East,Commercial,Solar,11,2024,624,No,Import,334
West Bengal,West,Transport,Coal,9,2023,3088,Yes,Export,667
Gujarat,North,Agriculture,Wind,9,2024,1431,No,Import,966
Andhra Pradesh,North,Transport,Coal,10,2023,1272,No,Import,269
Maharashtra,Central,Industrial,Nuclear,3,2023,2524,Yes,Export,650
Gujarat,North,Transport,Oil,3,2023,1551,No,Import,571
West Bengal,West,Residential,Oil,4,2023,908,Yes,Import,349
Gujarat,Central,Agriculture,Hydro,12,2024,3624,No,Export,847
West Bengal,East,Residential,Nuclear,7,2023,3779,No,Import,413
West Bengal,North,Industrial,Solar,3,2024,3015,No,Import,541
Rajasthan,South,Agriculture,Coal,10,2024,3241,Yes,Export,183
Karnataka,North,Commercial,Coal,8,2023,1646,No,Import,804
Madhya Pradesh,East,Transport,Wind,11,2023,1611,Yes,Export,547
Rajasthan,Central,Residential,Biomass,8,2023,2572,No,Import,169
Andhra Pradesh,East,Industrial,Coal,6,2023,2649,No,Export,19
Rajasthan,South,Commercial,Natural Gas,4,2024,2441,No,Export,603
Uttar Pradesh,West,Transport,Nuclear,11,2024,2725,No,Export,265
Uttar Pradesh,North,Commercial,Solar,12,2024,2233,No,Export,626
Madhya Pradesh,Central,Transport,Oil,11,2024,326,Yes,Export,661
Gujarat,West,Agriculture,Hydro,5,2023,3932,Yes,Import,723
Karnataka,East,Commercial,Coal,12,2024,3654,No,Export,353
Madhya Pradesh,Central,Commercial,Hydro,2,2023,2128,No,Export,545
West Bengal,West,Commercial,Coal,6,2023,4392,Yes,Import,382
Tamil Nadu,Central,Agriculture,Solar,3,2024,4556,No,Export,444
Karnataka,South,Industrial,Biomass,6,2024,4127,No,Import,943
Karnataka,South,Transport,Nuclear,12,2024,4218,Yes,Import,55
West Bengal,North,Commercial,Oil,5,2024,1170,No,Export,738
West Bengal,North,Agriculture,Solar,2,2024,4818,No,Import,913
Maharashtra,South,Industrial,Hydro,12,2024,2573,Yes,Import,64
Madhya Pradesh,Central,Transport,Coal,5,2023,3420,Yes,Import,87
West Bengal,South,Agriculture,Hydro,5,2023,4432,No,Export,500
Uttar Pradesh,North,Transport,Nuclear,9,2023,1958,No,Import,680
Andhra Pradesh,South,Commercial,Natural Gas,11,2024,3570,No,Export,865
Tamil Nadu,South,Industrial,Oil,8,2023,4357,Yes,Export,281
Madhya Pradesh,Central,Agriculture,Solar,12,2023,4546,No,Import,669
Delhi,West,Industrial,Hydro,12,2023,4800,No,Export,559
Uttar Pradesh,North,Commercial,Hydro,7,2023,3155,No,Import,120
Gujarat,Central,Industrial,Nuclear,12,2023,547,No,Import,24
West Bengal,South,Industrial,Natural Gas,3,2023,3637,Yes,Export,87
Delhi,South,Residential,Coal,10,2024,4243,No,Export,510
West Bengal,West,Industrial,Natural Gas,4,2024,2463,Yes,Export,597
Karnataka,North,Transport,Hydro,6,2024,3850,Yes,Import,427
Uttar Pradesh,North,Agriculture,Nuclear,3,2023,512,No,Import,849
Karnataka,East,Residential,Coal,11,2024,2810,No,Import,284
Maharashtra,North,Agriculture,Natural Gas,9,2024,3507,No,Export,503
Karnataka,West,Agriculture,Oil,8,2023,322,No,Import,206
Maharashtra,East,Commercial,Natural Gas,6,2024,1200,Yes,Import,385
Maharashtra,East,Commercial,Oil,4,2023,3439,Yes,Import,740
Delhi,South,Residential,Natural Gas,7,2024,68,Yes,Import,72
West Bengal,South,Commercial,Biomass,11,2023,1666,No,Export,370
Gujarat,North,Commercial,Coal,3,2023,3228,No,Import,982
Karnataka,East,Commercial,Natural Gas,10,2024,4131,Yes,Export,553
Uttar Pradesh,South,Agriculture,Biomass,8,2023,461,No,Import,754
Maharashtra,West,Residential,Solar,1,2024,791,Yes,Import,119
West Bengal,South,Agriculture,Nuclear,3,2023,2721,No,Import,686
Tamil Nadu,South,Transport,Natural Gas,11,2024,2829,No,Export,203
Madhya Pradesh,East,Agriculture,Oil,5,2024,2674,Yes,Export,528
Delhi,East,Transport,Coal,5,2023,564,No,Export,953
Gujarat,Central,Industrial,Oil,10,2024,256,No,Import,660
Rajasthan,West,Industrial,Biomass,2,2024,997,No,Import,468
Delhi,East,Transport,Biomass,10,2024,2491,No,Export,864
Tamil Nadu,North,Transport,Solar,8,2023,1878,Yes,Import,808
Madhya Pradesh,West,Agriculture,Oil,5,2023,3648,No,Import,949
Tamil Nadu,West,Transport,Wind,7,2024,2217,No,Export,310
Karnataka,East,Residential,Nuclear,7,2024,1706,Yes,Import,977
Maharashtra,West,Industrial,Oil,5,2023,651,Yes,Import,577
Gujarat,East,Industrial,Wind,8,2023,761,No,Import,681
Andhra Pradesh,South,Transport,Coal,9,2024,1253,Yes,Export,505
Maharashtra,Central,Commercial,Nuclear,4,2023,1441,No,Import,158
Andhra Pradesh,South,Commercial,Oil,4,2023,2746,No,Export,808
Madhya Pradesh,East,Transport,Solar,8,2024,3322,No,Import,778
West Bengal,East,Residential,Coal,1,2023,4975,No,Export,470
Rajasthan,South,Commercial,Nuclear,4,2023,3181,Yes,Export,148
Uttar Pradesh,North,Transport,Oil,6,2023,3780,Yes,Export,870
Maharashtra,North,Residential,Oil,4,2024,2716,No,Export,845
Gujarat,North,Residential,Nuclear,6,2023,599,No,Import,301
Tamil Nadu,East,Agriculture,Wind,5,2024,4791,No,Export,344
Gujarat,West,Residential,Coal,9,2023,4032,No,Import,708
Madhya Pradesh,East,Commercial,Solar,10,2023,1294,Yes,Import,844
Andhra Pradesh,West,Commercial,Solar,9,2024,3936,Yes,Export,193
Tamil Nadu,South,Transport,Coal,4,2024,4062,No,Import,316
Uttar Pradesh,Central,Transport,Coal,4,2024,2599,No,Import,934
Uttar Pradesh,West,Residential,Biomass,12,2024,3254,Yes,Import,990
Maharashtra,North,Industrial,Hydro,8,2023,895,Yes,Import,907
Madhya Pradesh,East,Agriculture,Oil,10,2024,4595,Yes,Export,271
West Bengal,South,Industrial,Wind,4,2024,93,Yes,Import,936
Madhya Pradesh,North,Residential,Coal,2,2024,708,No,Import,319
Andhra Pradesh,South,Residential,Coal,2,2023,4873,No,Import,353
Gujarat,Central,Industrial,Hydro,1,2023,3980,No,Import,433
Uttar Pradesh,East,Agriculture,Hydro,5,2024,2917,No,Import,666
Gujarat,East,Industrial,Nuclear,6,2024,3697,No,Export,782
Gujarat,Central,Transport,Natural Gas,9,2024,2832,No,Import,523
Gujarat,East,Commercial,Solar,5,2024,1741,Yes,Export,835
Uttar Pradesh,West,Transport,Wind,6,2023,2275,No,Import,533
Delhi,South,Commercial,Nuclear,6,2024,3116,Yes,Export,270
Karnataka,North,Residential,Coal,3,2023,1997,Yes,Import,371
Andhra Pradesh,Central,Agriculture,Oil,12,2024,1415,Yes,Import,965
Delhi,West,Industrial,Hydro,4,2024,3180,No,Export,178
Andhra Pradesh,North,Agriculture,Biomass,1,2023,4583,Yes,Export,669
Tamil Nadu,North,Industrial,Solar,4,2024,4571,Yes,Export,209
Madhya Pradesh,Central,Transport,Nuclear,1,2024,1017,No,Import,394
Madhya Pradesh,West,Transport,Biomass,5,2024,1454,No,Export,321
Rajasthan,North,Industrial,Solar,11,2024,535,No,Export,591
Madhya Pradesh,North,Agriculture,Natural Gas,11,2023,1805,No,Export,321
Uttar Pradesh,West,Industrial,Natural Gas,8,2024,3680,Yes,Import,575
West Bengal,East,Residential,Biomass,8,2024,3018,Yes,Import,404
Maharashtra,North,Transport,Hydro,5,2023,1629,No,Import,780
Rajasthan,South,Residential,Nuclear,10,2024,2845,No,Export,360
Maharashtra,West,Transport,Nuclear,2,2023,100,No,Import,37
Andhra Pradesh,North,Transport,Natural Gas,12,2024,1709,No,Import,888
Maharashtra,Central,Commercial,Solar,6,2024,4350,No,Import,884
Maharashtra,South,Residential,Biomass,1,2024,2837,No,Import,641
Rajasthan,North,Residential,Hydro,7,2023,4678,Yes,Export,142
Tamil Nadu,South,Commercial,Coal,11,2023,2205,Yes,Import,389
Gujarat,South,Agriculture,Nuclear,4,2024,4396,No,Export,611
Madhya Pradesh,East,Residential,Oil,5,2023,4280,Yes,Export,537
Madhya Pradesh,South,Industrial,Coal,6,2024,3211,Yes,Export,296
Uttar Pradesh,East,Commercial,Hydro,11,2023,1664,Yes,Export,293
Rajasthan,West,Residential,Natural Gas,1,2024,2786,Yes,Export,912
Uttar Pradesh,East,Agriculture,Oil,9,2023,456,Yes,Export,751
West Bengal,Central,Residential,Nuclear,10,2024,3429,Yes,Import,658
West Bengal,North,Transport,Nuclear,4,2023,4247,No,Export,816
Uttar Pradesh,West,Industrial,Biomass,8,2023,1434,No,Import,236
Rajasthan,West,Commercial,Oil,5,2023,3745,No,Export,436
Uttar Pradesh,Central,Transport,Coal,11,2023,4549,No,Import,36
Madhya Pradesh,East,Agriculture,Natural Gas,8,2024,4959,Yes,Export,341
Delhi,North,Transport,Biomass,1,2024,2952,Yes,Import,126
Karnataka,East,Transport,Wind,8,2023,1679,Yes,Import,98
Maharashtra,South,Agriculture,Coal,11,2024,3312,No,Export,628
Karnataka,East,Transport,Coal,11,2023,1076,No,Export,742
Rajasthan,West,Commercial,Wind,4,2024,3039,Yes,Export,744
Karnataka,North,Residential,Hydro,2,2023,2274,Yes,Export,131
West Bengal,East,Transport,Oil,11,2024,2970,No,Import,903
Andhra Pradesh,North,Commercial,Oil,6,2024,4365,No,Import,875
Maharashtra,North,Residential,Hydro,2,2023,4318,No,Export,42
Gujarat,South,Residential,Nuclear,5,2023,2833,Yes,Export,612
Rajasthan,South,Transport,Solar,2,2023,1463,Yes,Import,705
Maharashtra,West,Commercial,Biomass,3,2023,4647,No,Export,897
Karnataka,Central,Transport,Solar,11,2023,3698,No,Import,779
West Bengal,North,Agriculture,Nuclear,6,2024,2858,No,Export,407
Tamil Nadu,Central,Residential,Oil,1,2023,3381,No,Export,534
Delhi,West,Transport,Solar,6,2024,2228,No,Import,33
Gujarat,North,Residential,Coal,3,2023,847,No,Import,334
Delhi,North,Commercial,Coal,7,2024,2896,Yes,Export,43
Maharashtra,Central,Industrial,Wind,2,2024,979,Yes,Import,256
West Bengal,East,Transport,Wind,6,2023,4868,No,Export,864
West Bengal,South,Transport,Nuclear,8,2023,3141,Yes,Import,28
Karnataka,East,Residential,Nuclear,1,2024,2312,No,Export,39
Madhya Pradesh,Central,Commercial,Natural Gas,11,2024,1383,No,Export,58
Karnataka,South,Agriculture,Nuclear,11,2023,1324,No,Export,948
Madhya Pradesh,East,Commercial,Coal,9,2024,4633,No,Import,921
Madhya Pradesh,South,Transport,Solar,5,2024,3530,No,Import,189
Gujarat,North,Agriculture,Biomass,5,2024,3392,No,Import,379
Karnataka,East,Commercial,Natural Gas,12,2024,1267,No,Import,893
Tamil Nadu,South,Industrial,Natural Gas,5,2024,1514,No,Export,747
Uttar Pradesh,South,Residential,Oil,6,2024,4458,No,Import,954
Uttar Pradesh,South,Commercial,Natural Gas,2,2023,4224,Yes,Import,404
Karnataka,East,Commercial,Nuclear,6,2023,4820,No,Import,599
Karnataka,West,Industrial,Nuclear,11,2023,63,No,Export,505
Delhi,East,Transport,Coal,4,2023,2343,No,Import,440
Gujarat,Central,Residential,Biomass,8,2024,2095,Yes,Import,216
Karnataka,East,Commercial,Coal,11,2023,1087,No,Export,44
Delhi,South,Agriculture,Biomass,9,2024,4178,No,Export,771
Madhya Pradesh,North,Commercial,Coal,9,2024,1509,No,Export,592
West Bengal,East,Residential,Solar,8,2023,306,No,Export,422
West Bengal,East,Commercial,Oil,3,2023,4179,No,Export,373
Madhya Pradesh,South,Industrial,Nuclear,10,2024,4123,Yes,Export,319
Rajasthan,North,Commercial,Hydro,11,2023,1333,No,Export,991
Delhi,North,Commercial,Hydro,11,2023,3537,Yes,Import,288
Delhi,Central,Agriculture,Oil,4,2024,2234,No,Export,161
Madhya Pradesh,East,Industrial,Nuclear,1,2024,408,No,Export,236
Tamil Nadu,North,Industrial,Natural Gas,9,2024,3841,No,Export,252
Andhra Pradesh,North,Commercial,Nuclear,5,2024,4899,No,Export,19
Maharashtra,West,Agriculture,Nuclear,6,2024,3237,No,Export,838
Madhya Pradesh,West,Commercial,Oil,3,2024,4549,Yes,Import,401
Karnataka,North,Commercial,Nuclear,11,2023,1275,Yes,Import,57
Karnataka,Central,Residential,Natural Gas,10,2023,2347,No,Import,633
Gujarat,North,Residential,Biomass,8,2023,327,No,Import,213
Madhya Pradesh,South,Agriculture,Oil,7,2024,4257,No,Import,998
Gujarat,East,Transport,Solar,1,2024,2036,Yes,Import,903
Madhya Pradesh,Central,Residential,Hydro,10,2023,3594,Yes,Import,166
Delhi,South,Transport,Oil,12,2023,2843,Yes,Export,864
Maharashtra,Central,Industrial,Wind,5,2023,441,Yes,Export,35
Delhi,South,Residential,Hydro,10,2024,1018,No,Export,430
Andhra Pradesh,East,Residential,Hydro,9,2023,2240,Yes,Export,829
West Bengal,East,Agriculture,Natural Gas,12,2023,2278,No,Export,687
Uttar Pradesh,West,Transport,Coal,11,2023,2676,Yes,Export,770
Madhya Pradesh,South,Residential,Nuclear,12,2024,2895,Yes,Import,783
Andhra Pradesh,West,Residential,Nuclear,6,2023,4414,No,Export,273
West Bengal,South,Agriculture,Nuclear,8,2023,3357,Yes,Export,538
Rajasthan,West,Agriculture,Coal,10,2024,2650,Yes,Export,597
Maharashtra,East,Transport,Natural Gas,1,2024,2730,Yes,Import,967
Gujarat,Central,Industrial,Oil,10,2024,4420,Yes,Import,479
Gujarat,West,Industrial,Solar,11,2024,4888,No,Import,263
Delhi,South,Commercial,Solar,7,2024,135,Yes,Export,727
Karnataka,South,Residential,Natural Gas,3,2023,3184,No,Export,555
West Bengal,East,Transport,Wind,9,2023,4549,No,Export,156
Rajasthan,South,Residential,Solar,6,2024,2289,No,Import,335
Andhra Pradesh,North,Transport,Natural Gas,5,2024,3414,Yes,Import,347
Maharashtra,Central,Transport,Oil,8,2024,2095,No,Export,749
West Bengal,West,Transport,Solar,8,2024,1104,Yes,Import,127
Rajasthan,Central,Residential,Nuclear,12,2023,3451,No,Export,174
Uttar Pradesh,East,Agriculture,Biomass,12,2023,3779,No,Import,559
Madhya Pradesh,West,Residential,Natural Gas,3,2024,2719,Yes,Import,920
Gujarat,West,Transport,Hydro,2,2024,325,No,Import,879
Andhra Pradesh,North,Commercial,Solar,2,2024,4796,No,Export,817
Gujarat,East,Industrial,Solar,5,2024,4140,No,Import,658
Andhra Pradesh,South,Transport,Coal,10,2023,1155,Yes,Export,830
Delhi,North,Commercial,Wind,12,2024,4731,No,Export,767
Karnataka,North,Agriculture,Biomass,7,2024,2982,No,Export,207
Andhra Pradesh,Central,Transport,Oil,8,2023,178,Yes,Import,383
Gujarat,Central,Commercial,Coal,10,2024,4401,No,Import,587
Delhi,Central,Transport,Nuclear,8,2023,4376,Yes,Import,601
Andhra Pradesh,North,Residential,Hydro,12,2024,3618,Yes,Export,573
Uttar Pradesh,South,Commercial,Wind,8,2024,2452,No,Import,138
Karnataka,West,Residential,Coal,10,2023,1697,No,Import,423
Andhra Pradesh,Central,Residential,Natural Gas,12,2024,3606,No,Export,389
Delhi,South,Commercial,Solar,11,2023,3941,No,Export,889
West Bengal,East,Industrial,Solar,3,2023,2243,Yes,Export,10
Tamil Nadu,Central,Commercial,Wind,11,2023,2097,Yes,Import,176
Rajasthan,West,Industrial,Solar,2,2024,3154,No,Import,25
Tamil Nadu,East,Transport,Natural Gas,4,2024,4405,Yes,Export,666
Tamil Nadu,East,Transport,Coal,1,2023,2184,No,Import,121
Maharashtra,West,Commercial,Coal,3,2024,892,No,Export,377
Uttar Pradesh,Central,Transport,Solar,11,2024,2021,Yes,Import,111
West Bengal,North,Agriculture,Solar,9,2024,4410,Yes,Export,603
Madhya Pradesh,West,Residential,Nuclear,7,2023,3953,No,Import,415
Andhra Pradesh,West,Residential,Hydro,7,2023,3663,No,Export,991
Rajasthan,West,Industrial,Oil,1,2024,441,No,Export,516
Karnataka,East,Transport,Wind,7,2023,2329,No,Export,620
West Bengal,South,Industrial,Coal,10,2024,950,No,Import,680
Gujarat,North,Residential,Wind,7,2024,4733,Yes,Import,49
Madhya Pradesh,Central,Residential,Nuclear,4,2024,2544,Yes,Import,676
Maharashtra,Central,Transport,Coal,7,2023,1202,No,Export,557
Maharashtra,South,Agriculture,Nuclear,8,2023,1344,Yes,Export,390
West Bengal,West,Agriculture,Nuclear,3,2024,515,Yes,Export,768
Delhi,North,Transport,Biomass,10,2023,2225,No,Export,525
Tamil Nadu,Central,Transport,Solar,2,2024,3295,No,Export,506
Gujarat,Central,Industrial,Natural Gas,7,2023,537,Yes,Export,895
Maharashtra,West,Transport,Biomass,5,2023,2988,No,Export,974
Rajasthan,South,Agriculture,Oil,5,2023,2676,No,Export,290
Maharashtra,North,Transport,Wind,5,2024,999,Yes,Export,360
Karnataka,South,Industrial,Natural Gas,7,2024,4551,No,Import,343
Andhra Pradesh,South,Industrial,Wind,9,2024,1099,Yes,Export,935
Maharashtra,North,Industrial,Solar,11,2023,4125,No,Import,952
Karnataka,North,Industrial,Natural Gas,8,2024,4509,Yes,Export,770
West Bengal,Central,Commercial,Biomass,6,2024,1440,No,Import,533
West Bengal,Central,Transport,Wind,7,2024,1133,Yes,Export,292
Madhya Pradesh,North,Residential,Biomass,9,2024,4696,No,Import,950
Maharashtra,East,Transport,Solar,11,2023,1708,Yes,Export,737
Rajasthan,Central,Commercial,Natural Gas,6,2023,4437,No,Export,328
Maharashtra,East,Industrial,Natural Gas,1,2024,1867,No,Export,832
Rajasthan,North,Commercial,Coal,4,2023,240,Yes,Import,423
Uttar Pradesh,Central,Agriculture,Nuclear,8,2023,510,No,Export,603
Madhya Pradesh,South,Agriculture,Nuclear,7,2023,2571,Yes,Import,23
Uttar Pradesh,North,Transport,Biomass,3,2023,3526,No,Import,65
Maharashtra,West,Transport,Natural Gas,10,2023,2755,Yes,Import,412
Madhya Pradesh,East,Residential,Wind,3,2024,4416,No,Import,351
Uttar Pradesh,North,Residential,Biomass,11,2023,1207,No,Import,803
Tamil Nadu,North,Agriculture,Biomass,3,2024,4316,Yes,Export,208
Maharashtra,Central,Industrial,Hydro,12,2024,77,Yes,Import,869
Uttar Pradesh,Central,Commercial,Oil,1,2024,4281,No,Import,687
Tamil Nadu,Central,Residential,Natural Gas,10,2023,3022,No,Import,974
Tamil Nadu,West,Residential,Nuclear,1,2023,3074,No,Import,301
West Bengal,Central,Industrial,Natural Gas,6,2023,1314,Yes,Export,667
Maharashtra,North,Industrial,Solar,1,2023,905,No,Export,450
Tamil Nadu,Central,Transport,Biomass,5,2024,4075,Yes,Export,87
West Bengal,South,Commercial,Hydro,4,2024,1301,Yes,Import,121
Uttar Pradesh,Central,Industrial,Hydro,5,2024,4654,No,Import,544
Karnataka,West,Residential,Nuclear,7,2023,3920,Yes,Import,384
Maharashtra,South,Residential,Nuclear,6,2024,1376,No,Export,125
Madhya Pradesh,North,Agriculture,Nuclear,12,2024,1075,No,Import,151
Rajasthan,North,Industrial,Solar,9,2024,411,No,Export,206
Rajasthan,East,Transport,Hydro,6,2023,1268,No,Import,799
Uttar Pradesh,South,Commercial,Wind,9,2024,655,No,Import,549
Delhi,East,Transport,Solar,4,2024,1720,No,Export,308
Delhi,South,Residential,Coal,1,2023,4861,No,Import,85
Uttar Pradesh,South,Transport,Oil,1,2024,2347,No,Export,539
Tamil Nadu,West,Residential,Oil,10,2023,2244,Yes,Import,109
Maharashtra,East,Residential,Biomass,7,2024,4493,Yes,Export,488
Rajasthan,West,Residential,Oil,3,2023,1327,Yes,Import,982
Rajasthan,South,Residential,Nuclear,2,2023,448,No,Import,477
Tamil Nadu,North,Residential,Hydro,6,2023,2222,No,Import,645
Rajasthan,South,Agriculture,Oil,6,2024,2860,Yes,Import,886
Madhya Pradesh,West,Transport,Biomass,7,2024,2702,Yes,Import,301
Maharashtra,East,Agriculture,Oil,5,2023,2989,No,Export,134
Andhra Pradesh,East,Agriculture,Natural Gas,8,2023,871,No,Export,528
Rajasthan,West,Industrial,Solar,7,2023,994,No,Import,32
Uttar Pradesh,East,Industrial,Coal,2,2023,3528,Yes,Export,171
Madhya Pradesh,Central,Industrial,Natural Gas,1,2023,2829,Yes,Export,638
Rajasthan,North,Commercial,Solar,9,2023,4479,Yes,Export,515
Madhya Pradesh,North,Industrial,Solar,5,2023,4500,Yes,Export,891
West Bengal,North,Transport,Wind,12,2023,1246,Yes,Import,873
Andhra Pradesh,East,Agriculture,Oil,11,2023,1262,No,Export,30
Gujarat,East,Transport,Biomass,5,2023,873,Yes,Export,773
Uttar Pradesh,South,Industrial,Wind,12,2023,1946,Yes,Import,847
Uttar Pradesh,South,Commercial,Solar,10,2023,4313,Yes,Import,473
Maharashtra,North,Commercial,Oil,4,2024,2465,No,Import,492
Madhya Pradesh,Central,Agriculture,Coal,2,2023,585,No,Import,511
Tamil Nadu,South,Transport,Hydro,5,2024,3060,No,Import,952
Uttar Pradesh,South,Residential,Hydro,2,2024,2677,Yes,Import,318
Madhya Pradesh,East,Transport,Oil,12,2024,3827,Yes,Import,605
Madhya Pradesh,Central,Industrial,Natural Gas,7,2023,999,Yes,Import,883
Karnataka,North,Residential,Biomass,11,2024,3558,Yes,Export,562
Karnataka,South,Commercial,Nuclear,9,2023,4352,No,Import,212
Gujarat,Central,Agriculture,Nuclear,9,2024,593,No,Export,425
West Bengal,Central,Agriculture,Hydro,11,2023,3950,No,Import,649
Gujarat,North,Commercial,Solar,6,2023,3803,No,Import,151
Rajasthan,Central,Industrial,Solar,1,2024,4274,No,Export,865
Tamil Nadu,Central,Commercial,Wind,6,2024,2132,Yes,Import,624
Rajasthan,Central,Industrial,Oil,5,2023,2916,No,Import,116
Delhi,South,Residential,Biomass,4,2024,2296,Yes,Export,538
Rajasthan,North,Commercial,Oil,12,2023,1886,No,Export,546
Maharashtra,Central,Industrial,Oil,6,2023,126,Yes,Export,585
Rajasthan,Central,Residential,Wind,6,2023,418,Yes,Export,978
Gujarat,South,Commercial,Nuclear,6,2024,4671,No,Export,863
Uttar Pradesh,North,Agriculture,Oil,2,2023,398,No,Export,896
Uttar Pradesh,East,Commercial,Hydro,7,2023,4651,Yes,Import,758
Karnataka,South,Transport,Natural Gas,4,2023,4788,Yes,Import,697
Tamil Nadu,North,Commercial,Oil,12,2023,4383,Yes,Import,300
Tamil Nadu,Central,Transport,Solar,9,2024,1505,No,Import,814
Maharashtra,North,Residential,Oil,10,2024,2235,No,Import,320
